list size,Circular Array Deque AddFirst time (ns),Circular Array Deque AddLast time (ns),DLL Deque AddFirst time (ns),DLL Deque AddLast time (ns),ASL Deque AddFirst time (ns),ASL Deque AddLast time (ns),LSL Deque AddFirst time (ns),LSL Deque AddLast time (ns)
100,39800,18600,254200,18400,114800,33200,721300,183700
200,54100,30700,30600,29100,108900,24900,62400,556500
300,38900,43700,35800,33400,223200,40700,28400,367200
400,36400,46800,21200,21200,408400,36000,27200,1118000
500,47200,44300,32400,31700,712500,35700,26500,704000
600,62600,67400,33100,37100,1213400,50400,33900,941500
700,61000,62400,39100,38600,507300,58600,37800,1237200
800,59700,59700,43200,40000,238900,49300,39800,1545400
900,95900,115600,45600,45600,274100,49300,513400,1786800
1000,65400,82200,49000,48800,330800,55100,38000,2138000
1100,91000,116100,56600,55700,425300,77800,45600,2916900
1200,102700,91800,805900,70100,1104700,111900,63900,3673900
1300,98900,93800,68100,65000,1217700,79600,51200,3851300
1400,102700,124200,70000,77600,1311600,83000,63000,4098600
1500,222300,199500,86600,93800,1753400,126700,77400,5485000
1600,87900,117600,77900,90500,1762500,69600,72500,5492300
1700,94100,151100,141300,100000,1968900,99100,75800,7053400
1800,93000,74800,80800,80100,2235900,62300,54700,6905900
1900,67600,118400,65200,74700,2596700,137000,59900,7952300
2000,61400,48300,62900,65000,2707400,57600,54800,9159300
2100,63700,64500,67800,64700,2836500,65600,55600,9526400
2200,130200,75800,69700,66200,3351800,60300,60300,10253900
2300,78200,152300,77500,76400,4681700,125900,170600,11613900
2400,52100,62900,65500,72500,4275800,89100,61900,12263000
2500,49000,49100,61000,65800,4448900,47100,53200,13118900
2600,51000,47600,63800,60000,4720700,47900,50200,15212700
2700,52500,71200,71100,81700,5032000,53100,57200,15755200
2800,55300,50600,103700,83300,5107200,50200,54900,17182500
2900,54700,51400,76400,88400,6078700,52300,57500,18054700
3000,56600,54600,73300,70000,5886100,52200,64800,19080500
3100,58600,54400,76700,73700,7186900,57000,65300,20739600
3200,59300,55600,78500,78400,6962100,55400,63000,22565200
3300,81400,89500,98100,75900,7019000,55500,65100,23958700
3400,61200,58900,84500,80000,7424300,57600,66900,26721300
3500,61800,59600,92400,81900,7973700,59000,69500,27262000
3600,64400,59700,89400,85000,8466700,69200,111200,28670400
3700,64700,63700,91700,91600,9259500,61400,79700,31195300
3800,135700,71400,122800,121100,9685400,73400,84100,32074200
3900,83400,82100,140900,118000,10203700,93600,111000,33526700
4000,84900,85900,120300,108500,10437200,71000,243400,36541900
4100,89500,92000,102000,105300,10900100,86200,81900,38306800
4200,89100,86200,104800,97300,11548800,82800,85400,40137900
4300,110800,136500,107400,101200,12323200,86400,88800,42117700
4400,193000,172000,194400,157100,13937700,92900,96300,45075000
4500,92700,89500,112900,106100,13068600,130800,140900,46991000
4600,93300,91300,113200,108700,14375100,85100,89400,49046800
4700,93000,88900,115300,108900,16364700,87200,96700,52263000
4800,95200,90400,120100,111100,15283000,88100,97000,53475900
4900,121500,191700,134600,113100,15838800,91100,95900,56809100
5000,95700,93600,120700,112800,16880300,96500,95200,57883100
5100,102400,101400,158200,117100,17491400,151900,329300,61552700
5200,99900,104100,132700,133600,17974200,127700,117500,64623700
5300,140900,125000,144400,175800,18529400,115100,108400,66527800
5400,102100,106600,156200,126200,19744000,98400,103900,69181300
5500,108400,104300,132400,125800,20180800,97900,104900,72129600
5600,112100,99700,135000,128700,21230800,98800,112100,73684500
5700,127800,101200,138100,129400,23256500,157200,169800,77188400
5800,111700,103200,139500,131900,22294500,241300,191300,79853900
5900,106200,104300,150200,140700,23445700,149000,135900,83636600
6000,108000,111200,144300,138300,23555700,103400,114600,86842000
6100,114000,130100,164600,140900,24822600,104800,121300,88704600
6200,112800,130200,162600,146300,25613400,121300,120700,92493300
6300,146300,128500,197600,211400,26285800,118300,130900,96406000
6400,116600,169300,212100,177800,27526900,132900,211600,105417400
6500,136600,162000,196200,164500,31044400,122200,133500,110401800
6600,167600,127500,164400,151500,31109200,110800,123400,106413100
6700,115000,112900,162000,153300,30483100,121600,163900,108124400
6800,120400,113300,1887900,112300,31190400,60600,51600,113027600
6900,117900,116300,169200,156700,31578700,61400,52400,116792700
7000,101600,79200,71500,64100,34582400,62200,54800,119582800
7100,72600,67400,67100,66600,33543300,73100,53200,124573100
7200,68100,63700,68000,71500,34562200,63400,54500,127007700
7300,78800,64300,103000,66000,35456000,69200,75500,131588100
7400,69400,65000,74300,67200,36513700,122000,82900,134858600
7500,69900,65800,70800,68300,37527200,79700,59300,136901300
7600,77300,98100,116200,74600,38396800,68200,58700,142157500
7700,71300,67000,72500,69600,38928400,67600,58100,145993400
7800,71700,72300,78400,70300,40298600,70000,66700,149176200
7900,78500,91100,93900,109900,41665600,69600,59600,153726100
8000,77100,68900,75700,72600,42991800,75700,60300,161772200
8100,194700,117900,90900,135800,43605000,70600,60900,161947700
8200,90600,85400,77600,80000,48146900,83200,65400,166212700
8300,104500,87000,79400,80000,46103800,79900,62800,170365800
8400,103700,87900,79800,76400,47854800,102900,79200,173689000
8500,117800,142100,80900,77200,48423900,94400,68000,181020300
8600,94000,92400,81300,78400,50386500,87900,68100,183861600
8700,93900,98700,82200,80100,53332400,102100,85100,194063600
8800,95000,89800,95800,79700,52461800,83800,72100,188451700
8900,96000,90500,89100,82000,53403000,88000,75200,193546800
9000,96200,91000,89700,81400,54305000,86400,72900,201766500
9100,158200,145700,108200,146900,56022700,90100,76800,202970100
9200,97900,93000,91900,84300,55446000,127800,72100,209069100
9300,98300,93000,92800,84800,57583900,99900,73400,211617900
9400,141000,98500,88500,86500,59112200,110600,76200,217109400
9500,100400,98400,90300,85700,60956100,94600,71500,223439000
9600,100200,99600,91200,87100,73451600,89800,72000,228085000
9700,106000,95600,91700,92800,67963700,90500,72800,233652900
9800,102200,96200,92900,92800,69797900,99100,80900,241409800
9900,101900,96900,98700,91100,67693500,94400,81800,243269600
10000,103000,98300,99700,91400,69204800,165300,189300,247419200
10100,103900,106300,97700,91900,68916800,123500,93400,254511500
10200,104200,103500,97000,92500,71812800,105200,85200,259288100
10300,118500,99600,98700,95100,72294000,102300,81200,264437700
10400,106300,100000,102700,118600,73993300,103700,90300,265813300
10500,115300,109700,111800,103800,77151800,112000,87800,272978500
10600,113400,103500,100400,98100,77488500,101800,160800,278898300
10700,113700,108200,140800,107700,79756000,103700,91900,303783800
10800,108800,102500,106600,97700,78538500,223900,130900,292862100
10900,110100,114400,103700,98900,112195100,108000,101700,297132300
11000,117000,104000,104200,100800,84286100,107600,89300,301447400
11100,110800,105000,110500,100500,83848200,111700,87100,302559000
11200,150900,115500,105600,101000,87123900,106900,87800,314227100
11300,112300,131100,121300,107500,92645600,112300,98200,320395300
11400,113100,107300,112200,103700,86919300,125700,86000,323982300
11500,118600,108000,108400,106200,91946500,123200,98000,327784800
11600,114200,108800,113800,106300,95301900,242700,131200,334047200
11700,131200,112700,110700,107000,95835300,117000,97900,341061900
11800,121400,172900,3300800,142000,96325900,111500,95100,341197100
11900,120400,109800,112400,109400,99927600,118200,104900,350234400
12000,118500,116900,113800,108700,98162400,111800,92600,352962200
12100,118000,111200,141700,124700,99474500,108300,96500,364379800
12200,124000,121900,115000,112500,105353500,109300,91500,375262200
12300,119400,114000,121500,112400,103380000,124100,100100,373082700
12400,136700,125700,131000,125100,110579800,110800,98700,381123700
12500,129900,114600,122800,113300,108645600,117100,97900,389961500
12600,121900,115200,123700,116500,111905400,121200,107900,394715200
12700,125800,123000,124100,118300,109595000,119000,106800,396534700
12800,123300,115700,124900,116800,116876100,130100,109500,413516100
12900,129900,120200,127400,117400,116185900,132400,112700,413430800
13000,157800,117700,123200,119000,116783500,115000,104700,430648800
13100,155900,172300,195600,188400,120799000,144900,113400,425941600
13200,126000,118400,130600,120100,122605900,139200,113100,440726200
13300,180900,119700,131000,120000,126024300,151300,114000,439384000
13400,174000,169600,176800,123300,128678700,131500,120100,449578300
13500,128100,124500,128100,123000,125145200,124700,107900,453161000
13600,164300,121200,168100,401100,129653400,119800,101900,435954400
13700,184900,122200,222400,143000,130990900,120400,102400,461913400
13800,130300,122600,135700,125800,130365500,133400,103300,470234300
13900,148500,159800,131200,127200,136979100,141100,125000,477413000
14000,141500,126200,132200,128300,147355700,160100,127200,485297300
14100,131700,129200,133500,133200,139442800,133600,120600,497134600
14200,132600,136100,135800,129100,144158600,141600,129100,524257000
14300,133600,130800,134600,131000,141767800,142000,133800,507093500
14400,140000,133400,135300,131800,142634700,125000,114600,510099300
14500,134600,127400,144000,132000,143967600,136600,124100,518370000
14600,142200,134600,138500,133200,154739400,167000,135500,530903100
14700,140400,149300,138400,133700,163907000,276400,288600,553211100
14800,140300,138100,144100,137800,155866500,147700,141200,544890500
14900,137400,135500,140900,136000,157932600,152300,137000,547713200
15000,138500,139800,142200,138300,160785400,150800,134100,554449800
15100,144500,143200,142500,138300,157697200,149500,136600,578635900
15200,139800,141700,143900,141700,166818600,155000,142400,574235100
15300,147400,137900,145300,140900,168682900,210100,114500,579447900
15400,141400,134400,150800,140700,169617600,147200,136200,589741300
15500,142000,139800,147100,142400,173689400,155900,149500,603349900
15600,154600,160400,177600,215300,174777100,159300,133500,603049300
15700,144400,135000,152800,144800,170367000,146000,126300,610305100
15800,184200,135600,155100,143600,176115600,1262500,846800,612204700
15900,153000,146800,150300,145800,175648300,172500,138600,620990800
16000,149500,136700,151500,145400,184338000,170700,137600,701686400
16100,185900,174100,156900,147400,179055800,149000,178700,645285200
16200,146700,143700,154100,148400,190398600,160900,145600,653398600
16300,152600,177800,342100,264000,198858800,162900,152600,679367700
16400,179400,234600,179200,150100,206670300,157100,129600,659852900
16500,185200,171100,157500,183600,196185000,183400,152500,671825900
16600,187100,172000,158800,155700,197178600,179900,148800,714702000
16700,190900,175800,157000,151900,201664900,181800,154000,692242300
16800,4114700,785300,702600,612900,199288400,179100,145800,693837300
16900,231500,187700,163600,154200,199688800,180600,147300,707743900
17000,190000,174900,165200,155900,218363700,171000,140200,746153600
17100,191800,175400,162200,155700,211014800,212000,163000,730767700
17200,193000,175400,162700,225700,242955900,183500,148300,759392600
17300,209200,198200,177100,168800,227576900,166000,138300,745739500
17400,194800,177300,165400,157200,220105900,188400,156700,748859700
17500,191000,177400,200300,159800,216659800,172400,141500,763831100
17600,188500,179800,174900,171100,224906700,206700,152500,768962500
17700,212500,196400,167700,161300,220073400,192900,147500,779432600
17800,287200,190300,168700,162000,224079200,206300,148300,805301800
17900,189700,180300,174700,163600,236415400,261700,177400,794212800
18000,190200,181000,5881100,999600,241556700,212300,171000,805202400
18100,191000,182300,175000,166100,240418400,206400,158900,814610200
18200,237100,192600,177500,168300,245514100,396400,434500,881210100
18300,197500,183400,173600,166800,243366700,203000,166600,835595700
18400,194100,224000,174000,169800,245570000,207800,161000,850934000
18500,288100,205200,190800,187100,250425600,173400,145600,850521600
18600,202400,184900,218700,191200,248419100,194800,150100,855144700
18700,204300,201300,178200,169800,243873100,212700,155300,867101300
18800,196600,235400,179900,170700,258793400,230400,160600,889971200
18900,197500,203200,180900,172600,251017700,181400,141600,891685000
19000,212900,208200,195100,185900,267836200,176400,149300,896994700
19100,203100,188900,181800,176800,275086800,206100,193700,942697600
19200,226800,222400,244100,200800,258507800,220600,166300,911786900
19300,223400,235300,340200,229700,271356800,211800,178600,921961200
19400,246500,191200,183500,175600,266236400,224600,168400,928166300
19500,207000,208500,186700,177000,275497500,218500,171000,953674300
19600,339900,292900,185700,179000,279097300,236500,175800,970652700
19700,246600,301900,188000,179400,280490700,215200,169800,970113600
19800,290700,195800,258300,196200,284745000,227000,171900,1011255700
19900,204000,209500,189600,182000,291542100,210400,166100,1031565200
20000,246200,194300,188700,210500,283095000,226300,172900,993976400
